Region,Rep,Item,Units,Unit Cost,Total
East,Jones,Pencil,95,1.99,189.05
Central,Kivell,Binder,50,19.99,999.50
Central,Jardine,Pencil,36,4.99,179.64
Central,Gill,Pen,27,19.99,539.73
East,Jones,Binder,60,4.99,299.40
Central,Andrews,Pencil,75,1.99,149.25
East,Jones,Binder,60,8.99,539.40
East,Howard,Binder,29,1.99,57.71
East,Parent,Binder,81,19.99,"1,619.19"
East,Jones,Pencil,35,4.99,174.65
Central,Smith,Desk,2,125,250.00
East,Parent,Pen,15,19.99,299.85
Central,Kivell,Pen Set,96,4.99,479.04
East,Parent,Pen Set,74,15.99,"1,183.26"
Central,Smith,Binder,87,15,"1,305.00"
Central,Gill,Pencil,53,1.29,68.37
Central,Kivell,Pen Set,42,23.95,"1,005.90"
West,Sorvino,Desk,3,275,825.00
West,Thompson,Binder,57,19.99,"1,139.43"
Central,Jardine,Binder,94,19.99,"1,879.06"
