Chris Lea,GitHub/chrislea,Twitter/@chrislea
Rod Vagg,https://github.com/rvagg,http://twitter.com/rvagg
William Blankenship,https://github.com/retrohacker,http://twitter.com/retrohack3r
Harry Truong,https://github.com/harrytruong,
Matteo Brunati,https://github.com/mattbrun,
Brian White,https://github.com/mscdex,
Matt Lewandowsky,https://github.com/lewellyn,
Jan-Hendrik Peters,https://github.com/hennr,
Andris Reinman,https://github.com/andris9,
Carvilsi,https://github.com/carvilsi,
Krasimir Trenchev,https://github.com/Ava7,
Phil Helm,https://github.com/phelma,
0xmohit,https://github.com/0xmohit,
jdarling,https://github.com/jdarling,
Prayag Verma,https://github.com/pra85,
Misha Brukman,https://github.com/mbrukman,
Simon Lydell,https://github.com/lydell,
Sebastian Blei,https://github.com/iamsebastian,
Jorge Maldonado Ventura,https://notabug.org/jorgesumle,
Mayank Metha,https://github.com/mayankmetha,https://twitter.com/mayankmethad
Adrian Estrada,https://github.com/edsadr,https://twitter.com/edsadr
Iván Iguarán,https://github.com/igsu,
Jesus Paz,https://github.com/JesusPaz,
